Date,Open,High,Low,Close,Adj Close,Volume
2019-11-07,5.100000,5.400000,5.000000,5.100000,5.100000,251240
2019-11-08,5.200000,5.200000,5.000000,5.100000,5.100000,131470
2019-11-11,5.100000,5.200000,4.800000,5.200000,5.200000,185800
2019-11-12,5.900000,6.400000,5.500000,5.600000,5.600000,838780
2019-11-13,5.600000,7.300000,5.600000,7.100000,7.100000,897880
2019-11-14,7.000000,7.000000,6.000000,6.400000,6.400000,355840
2019-11-15,6.500000,6.600000,6.300000,6.300000,6.300000,123610
2019-11-18,6.500000,6.700000,6.400000,6.600000,6.600000,261990
2019-11-19,6.700000,6.700000,6.200000,6.300000,6.300000,176360
2019-11-20,6.300000,6.600000,6.200000,6.200000,6.200000,129360
2019-11-21,6.200000,6.400000,5.700000,6.100000,6.100000,227210
2019-11-22,5.900000,6.300000,5.900000,6.200000,6.200000,115990
2019-11-25,6.100000,6.200000,5.900000,6.100000,6.100000,113440
2019-11-26,6.400000,6.700000,6.200000,6.700000,6.700000,320380
2019-11-27,7.000000,7.200000,6.800000,7.100000,7.100000,287820
2019-11-29,7.100000,7.700000,7.000000,7.600000,7.600000,155240
2019-12-02,7.800000,8.200000,7.500000,7.600000,7.600000,287990
2019-12-03,7.700000,7.800000,7.000000,7.400000,7.400000,168100
2019-12-04,7.500000,7.600000,7.300000,7.500000,7.500000,107630
2019-12-05,7.600000,7.700000,7.400000,7.600000,7.600000,83780
2019-12-06,7.800000,7.800000,7.500000,7.500000,7.500000,70300
2019-12-09,7.500000,7.500000,6.900000,7.100000,7.100000,131590
2019-12-10,7.200000,7.300000,6.900000,7.200000,7.200000,95630
2019-12-11,7.100000,7.200000,6.900000,7.100000,7.100000,97700
2019-12-12,7.000000,7.100000,6.900000,7.000000,7.000000,98270
2019-12-13,7.000000,7.000000,6.600000,6.700000,6.700000,177020
2019-12-16,6.700000,7.200000,6.500000,7.100000,7.100000,127610
2019-12-17,7.000000,7.000000,6.500000,6.700000,6.700000,136060
2019-12-18,6.700000,6.700000,6.400000,6.600000,6.600000,99420
2019-12-19,6.600000,6.700000,6.500000,6.700000,6.700000,67690
2019-12-20,6.700000,6.700000,6.500000,6.700000,6.700000,102080
2019-12-23,6.500000,6.600000,6.400000,6.500000,6.500000,136620
2019-12-24,6.500000,6.700000,6.300000,6.500000,6.500000,104750
2019-12-26,6.600000,6.600000,6.400000,6.500000,6.500000,102290
2019-12-27,6.500000,6.600000,6.300000,6.500000,6.500000,111060
2019-12-30,6.400000,6.500000,6.100000,6.300000,6.300000,230370
2019-12-31,6.000000,6.400000,6.000000,6.200000,6.200000,135130
